Using kernels flash-attn2 (compute capability (12, 0))
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 20,972,032
  scalars                 : 16
  total                   : 46,137,872
Estimated FLOPs per token: 2.139126e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011469 | lrm: 1.00 | dt: 5565ms | tok/sec: 23,551 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.883111 | lrm: 1.00 | dt: 286ms | tok/sec: 457,848 | mfu: 9.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.554588 | lrm: 1.00 | dt: 293ms | tok/sec: 448,002 | mfu: 9.7% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.137233 | lrm: 1.00 | dt: 274ms | tok/sec: 477,635 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.755521 | lrm: 1.00 | dt: 282ms | tok/sec: 464,158 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.441248 | lrm: 1.00 | dt: 293ms | tok/sec: 447,690 | mfu: 9.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.192334 | lrm: 1.00 | dt: 296ms | tok/sec: 442,746 | mfu: 9.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.984615 | lrm: 1.00 | dt: 275ms | tok/sec: 476,274 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.810339 | lrm: 1.00 | dt: 284ms | tok/sec: 460,943 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.662765 | lrm: 1.00 | dt: 289ms | tok/sec: 454,195 | mfu: 9.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.534300 | lrm: 1.00 | dt: 296ms | tok/sec: 443,499 | mfu: 9.6% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.419629 | lrm: 1.00 | dt: 275ms | tok/sec: 476,104 | mfu: 10.3% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.324908 | lrm: 1.00 | dt: 284ms | tok/sec: 460,769 | mfu: 10.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.240835 | lrm: 1.00 | dt: 289ms | tok/sec: 454,303 | mfu: 9.8% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 6.164041 | lrm: 1.00 | dt: 296ms | tok/sec: 443,397 | mfu: 9.6% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 6.100666 | lrm: 1.00 | dt: 276ms | tok/sec: 475,708 | mfu: 10.3% | epoch: 1 | remaining: 299s    
step 00016 (0.5%) | loss: 6.044450 | lrm: 1.00 | dt: 287ms | tok/sec: 456,075 | mfu: 9.9% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.989085 | lrm: 1.00 | dt: 288ms | tok/sec: 454,578 | mfu: 9.8% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 5.940282 | lrm: 1.00 | dt: 296ms | tok/sec: 443,120 | mfu: 9.6% | epoch: 1 | remaining: 298s    
step 00019 (0.8%) | loss: 5.896531 | lrm: 1.00 | dt: 295ms | tok/sec: 443,809 | mfu: 9.6% | epoch: 1 | remaining: 297s    
step 00020 (0.9%) | loss: 5.859362 | lrm: 1.00 | dt: 276ms | tok/sec: 474,635 | mfu: 10.3% | epoch: 1 | remaining: 297s    
step 00021 (1.0%) | loss: 5.824847 | lrm: 1.00 | dt: 282ms | tok/sec: 464,189 | mfu: 10.0% | epoch: 1 | remaining: 297s    
step 00022 (1.0%) | loss: 5.791342 | lrm: 1.00 | dt: 294ms | tok/sec: 446,374 | mfu: 9.6% | epoch: 1 | remaining: 297s    
step 00023 (1.1%) | loss: 5.759138 | lrm: 1.00 | dt: 296ms | tok/sec: 443,248 | mfu: 9.6% | epoch: 1 | remaining: 296s    
step 00024 (1.2%) | loss: 5.730357 | lrm: 1.00 | dt: 276ms | tok/sec: 475,740 | mfu: 10.3% | epoch: 1 | remaining: 296s    
step 00025 (1.3%) | loss: 5.695793 | lrm: 1.00 | dt: 284ms | tok/sec: 460,777 | mfu: 10.0% | epoch: 1 | remaining: 296s    
step 00026 (1.4%) | loss: 5.669399 | lrm: 1.00 | dt: 289ms | tok/sec: 453,423 | mfu: 9.8% | epoch: 1 | remaining: 295s    
step 00027 (1.5%) | loss: 5.647366 | lrm: 1.00 | dt: 296ms | tok/sec: 443,057 | mfu: 9.6% | epoch: 1 | remaining: 295s    
step 00028 (1.6%) | loss: 5.626438 | lrm: 1.00 | dt: 276ms | tok/sec: 475,750 | mfu: 10.3% | epoch: 1 | remaining: 295s    
step 00029 (1.7%) | loss: 5.602075 | lrm: 1.00 | dt: 284ms | tok/sec: 461,322 | mfu: 10.0% | epoch: 1 | remaining: 295s    
step 00030 (1.8%) | loss: 5.579058 | lrm: 1.00 | dt: 289ms | tok/sec: 454,169 | mfu: 9.8% | epoch: 1 | remaining: 294s    
step 00031 (1.9%) | loss: 5.556523 | lrm: 1.00 | dt: 296ms | tok/sec: 443,127 | mfu: 9.6% | epoch: 1 | remaining: 294s    
step 00032 (2.0%) | loss: 5.532633 | lrm: 1.00 | dt: 275ms | tok/sec: 476,476 | mfu: 10.3% | epoch: 1 | remaining: 294s    
step 00033 (2.1%) | loss: 5.513261 | lrm: 1.00 | dt: 284ms | tok/sec: 461,313 | mfu: 10.0% | epoch: 1 | remaining: 293s    
step 00034 (2.2%) | loss: 5.489200 | lrm: 1.00 | dt: 289ms | tok/sec: 453,747 | mfu: 9.8% | epoch: 1 | remaining: 293s    
step 00035 (2.3%) | loss: 5.466230 | lrm: 1.00 | dt: 296ms | tok/sec: 442,846 | mfu: 9.6% | epoch: 1 | remaining: 293s    
step 00036 (2.4%) | loss: 5.447490 | lrm: 1.00 | dt: 275ms | tok/sec: 475,823 | mfu: 10.3% | epoch: 1 | remaining: 293s    
step 00037 (2.5%) | loss: 5.424988 | lrm: 1.00 | dt: 285ms | tok/sec: 460,100 | mfu: 9.9% | epoch: 1 | remaining: 292s    
step 00038 (2.6%) | loss: 5.404316 | lrm: 1.00 | dt: 290ms | tok/sec: 452,559 | mfu: 9.8% | epoch: 1 | remaining: 292s    
step 00039 (2.7%) | loss: 5.382177 | lrm: 1.00 | dt: 296ms | tok/sec: 443,059 | mfu: 9.6% | epoch: 1 | remaining: 292s    
step 00040 (2.8%) | loss: 5.359722 | lrm: 1.00 | dt: 275ms | tok/sec: 476,275 | mfu: 10.3% | epoch: 1 | remaining: 291s    
step 00041 (2.9%) | loss: 5.338566 | lrm: 1.00 | dt: 284ms | tok/sec: 461,584 | mfu: 10.0% | epoch: 1 | remaining: 291s    
step 00042 (3.0%) | loss: 5.319428 | lrm: 1.00 | dt: 289ms | tok/sec: 453,775 | mfu: 9.8% | epoch: 1 | remaining: 291s    
step 00043 (3.1%) | loss: 5.295798 | lrm: 1.00 | dt: 296ms | tok/sec: 442,653 | mfu: 9.6% | epoch: 1 | remaining: 291s    
step 00044 (3.2%) | loss: 5.275516 | lrm: 1.00 | dt: 275ms | tok/sec: 476,123 | mfu: 10.3% | epoch: 1 | remaining: 290s    
step 00045 (3.2%) | loss: 5.257887 | lrm: 1.00 | dt: 284ms | tok/sec: 460,983 | mfu: 10.0% | epoch: 1 | remaining: 290s    
step 00046 (3.3%) | loss: 5.240067 | lrm: 1.00 | dt: 288ms | tok/sec: 454,679 | mfu: 9.8% | epoch: 1 | remaining: 290s    
